date,confirmed
20200501,0
20200502,0
20200503,0
20200504,0
20200505,0
20200506,0
20200507,0
20200508,0
20200509,0
20200510,7
20200511,1
20200512,0
20200513,0
20200514,0
20200515,0
20200516,1
20200517,4
20200518,3
20200519,1
20200520,0
20200521,0
20200522,0
20200523,0
20200524,10
20200525,5
20200526,0
20200527,0
20200528,0
20200529,0
20200530,0
20200531,3
20200601,0
20200602,0
20200603,0
20200604,0
20200605,0
20200606,0
20200607,0
20200608,0
20200609,2
20200610,0
20200611,0
20200612,0
20200613,0
20200614,0
20200615,1
20200616,0
20200617,0
20200618,0
20200619,0
20200620,0
20200621,0
20200622,0
20200623,0
20200624,0
20200625,0
20200626,0
20200627,0
20200628,0
20200629,0
20200630,0
20200701,0
20200702,0
20200703,0
20200704,0
20200705,1
20200706,1
20200707,4
20200708,0
20200709,1
20200710,0
20200711,0
20200712,4
20200713,0
20200714,0
20200715,0
20200716,0
20200717,0
20200718,0
20200719,1
20200720,0
20200721,0
20200722,0
20200723,0
20200724,1
20200725,6
20200726,2
20200727,0
20200728,0
20200729,0
20200730,0
20200731,0
20200801,0
20200802,0
20200803,0
20200804,0
20200805,0
20200806,0
20200807,0
20200808,0
20200809,0
20200810,0
20200811,1
20200812,0
20200813,0
20200814,1
20200815,0
20200816,0
20200817,0
20200818,0
20200819,0
20200820,0
20200821,0
20200822,0
20200823,0
20200824,0
20200825,0
20200826,0
20200827,0
20200828,0
20200829,0
20200830,0
20200831,1
20200901,0
20200902,0
20200903,0
20200904,0
20200905,0
20200906,0
20200907,0
20200908,0
20200909,0
20200910,0
20200911,0
20200912,0
20200913,0
20200914,0
20200915,0
20200916,0
20200917,0
20200918,0
20200919,0
20200920,2
20200921,0
20200922,0
20200923,0
20200924,0
20200925,0
20200926,0
20200927,3
20200928,0
20200929,0
20200930,0
20201001,0
20201002,0
20201003,0
20201004,2
20201005,0
20201006,0
20201007,0
20201008,0
20201009,0
20201010,1
20201011,1
20201012,1
20201013,0
20201014,0
20201015,5
20201016,0
20201017,0
20201018,0
20201019,0
20201020,0
20201021,0
20201022,0
20201023,0
20201024,0
20201025,2
20201026,1
20201027,1
20201028,8
20201029,0
20201030,1
20201031,3
20201101,0
20201102,4
20201103,2
20201104,2
20201105,2
20201106,3
20201107,0
20201108,2
20201109,0
20201110,0
20201111,1
20201112,1
20201113,0
20201114,0
20201115,0
20201116,0
20201117,0
20201118,1
20201119,0
20201120,0
20201121,2
20201122,0
20201123,1
20201124,0
20201125,9
20201126,0
20201127,0
20201128,0
20201129,3
20201130,4
20201201,2
20201202,0
20201203,2
20201204,2
20201205,0
20201206,3
20201207,0
20201208,0
20201209,1
20201210,0
20201211,0
20201212,0
20201213,1
20201214,4
20201215,0
20201216,0
20201217,0
20201218,0
20201219,2
20201220,6
20201221,2
20201222,0
20201223,0
20201224,0
20201225,0
20201226,0
20201227,6
20201228,1
20201229,2
20201230,3
20201231,0
20210101,0
20210102,1
20210103,1
20210104,0
20210105,0
20210106,0
20210107,0
20210108,0
20210109,0
20210110,0
20210111,0
20210112,0
20210113,0
20210114,0
20210115,0
20210116,0
20210117,0
20210118,0
20210119,0
20210120,0
20210121,0
20210122,0
20210123,0
20210124,0
20210125,0
20210126,0
20210127,0
20210128,0
20210129,0
20210130,0
20210131,0
20210201,0
20210202,0
20210203,0
20210204,0
20210205,0
20210206,0
20210207,0
20210208,0
20210209,0
20210210,0
20210211,0
20210212,0
20210213,1
20210214,0
20210215,0
20210216,0
20210217,0
20210218,0
20210219,0
20210220,0
20210221,0
20210222,0
20210223,0
20210224,0
20210225,0
20210226,0
20210227,0
20210228,0
20210301,0
20210302,0
20210303,0
20210304,0
20210305,0
20210306,0
20210307,1
20210308,0
20210309,0
20210310,0
20210311,0
20210312,0
20210313,1
20210314,0
20210315,0
20210316,0
20210317,0
20210318,0
20210319,0
20210320,1
20210321,0
20210322,0
20210323,1
20210324,0
20210325,0
20210326,0
20210327,0
20210328,3
20210329,0
20210330,0
20210331,1
20210401,0
20210402,0
20210403,0
20210404,1
20210405,0
20210406,0
20210407,1
20210408,0
20210409,0
20210410,0
20210411,0
20210412,0
20210413,0
20210414,0
20210415,0
20210416,1
20210417,1
20210418,0
20210419,0
20210420,0
20210421,0
20210422,0
20210423,0
20210424,0
20210425,0
20210426,1
20210427,0
20210428,0
20210429,1
20210430,0
20210501,0
20210502,1
20210503,0
20210504,1
20210505,0
20210506,0
20210507,0
20210508,0
20210509,0
20210510,0
20210511,0
20210512,1
20210513,0
20210514,0
20210515,1
20210516,0
20210517,0
20210518,0
20210519,0
20210520,0
20210521,0
20210522,0
20210523,1
20210524,0
20210525,0
20210526,1
20210527,0
20210528,0
20210529,1
20210530,0
20210531,0
20210601,0
20210602,0
20210603,1
20210604,0
20210605,0
20210606,0
20210607,2
20210608,0
20210609,0
20210610,0
20210611,0
20210612,0
20210613,3
20210614,0
20210615,0
20210616,0
20210617,0
20210618,0
20210619,0
20210620,0
20210621,1
20210622,0
20210623,0
20210624,0
20210625,0
20210626,0
20210627,0
20210628,0
20210629,0
20210630,0
20210701,0
20210702,0
20210703,0
20210704,0
20210705,0
20210706,0
20210707,0
20210708,0
20210709,0
20210710,0
20210711,3
20210712,0
20210713,0
20210714,0
20210715,0
20210716,0
20210717,1
20210718,1
20210719,0
20210720,0
20210721,0
20210722,0
20210723,0
20210724,2
20210725,2
20210726,0
20210727,0
20210728,0
20210729,0
20210730,0
20210731,2
20210801,3
20210802,0
20210803,0
20210804,0
20210805,1
20210806,0
20210807,0
20210808,1
20210809,0
20210810,0
20210811,0
20210812,0
20210813,0
20210814,0
20210815,0
20210816,0
20210817,0
20210818,1
20210819,0
20210820,1
20210821,0
20210822,0
20210823,0
20210824,0
20210825,0
20210826,0
20210827,0
20210828,0
20210829,0
20210830,0
20210831,0
20210901,0
20210902,0
20210903,0
20210904,2
20210905,0
20210906,0
20210907,0
20210908,0
20210909,0
20210910,0
20210911,2
20210912,0
20210913,0
20210914,0
20210915,0
20210916,0
20210917,0
20210918,0
20210919,0
20210920,0
20210921,0
20210922,0
20210923,0
20210924,0
20210925,2
20210926,0
20210927,0
20210928,0
20210929,0
20210930,1
20211001,0
20211002,0
20211003,1
20211004,0
20211005,0
20211006,0
20211007,0
20211008,0
20211009,0
20211010,1
20211011,0
20211012,0
20211013,2
20211014,0
20211015,0
20211016,2
20211017,0
20211018,2
20211019,8
20211020,2
20211021,11
20211022,11
20211023,7
20211024,19
20211025,16
20211026,32
20211027,7
20211028,20
20211029,21
20211030,12
20211031,7
20211101,2
20211102,6
20211103,2
20211104,2
20211105,1
20211106,0
20211107,2
20211108,0
20211109,0
20211110,0
20211111,1
20211112,4
20211113,0
20211114,0
20211115,0
20211116,0
20211117,0
20211118,0
20211119,0
20211120,0
20211121,0
20211122,0
20211123,0
20211124,0
20211125,0
20211126,0
20211127,0
20211128,20
20211129,21
20211130,91
20211201,53
20211202,56
20211203,61
20211204,30
20211205,28
20211206,55
20211207,34
20211208,42
20211209,24
20211210,15
20211211,10
20211212,5
20211213,5
20211214,3
20211215,2
20211216,4
20211217,1
20211218,0
20211219,7
20211220,0
20211221,0
20211222,0
20211223,1
20211224,0
20211225,0
20211226,0
20211227,0
20211228,0
20211229,0
20211230,0
20211231,0
20220101,0
20220102,5
20220103,0
20220104,0
20220105,0
20220106,0
20220107,0
20220108,0
20220109,0
20220110,0
20220111,0
20220112,0
20220113,0
20220114,0
20220115,0
20220116,0
20220117,0
20220118,0
20220119,0
20220120,0
20220121,0
20220122,0
20220123,0
20220124,0
20220125,0
20220126,0
20220127,0
20220128,0
20220129,0
20220130,0
20220131,0
20220201,0
20220202,0
20220203,0
20220204,0
20220205,0
20220206,0
20220207,0
20220208,0
20220209,0
20220210,0
20220211,0
20220212,0
20220213,0
20220214,0
20220215,7
20220216,3
20220217,22
20220218,46
20220219,65
20220220,32
20220221,20
20220222,47
20220223,40
20220224,30
20220225,32
20220226,38
20220227,11
20220228,14
20220301,16
20220302,7
20220303,9
20220304,8
20220305,9
20220306,7
20220307,2
20220308,3
20220309,3
20220310,2
20220311,1
20220312,1
20220313,0
20220314,0
20220315,0
20220316,0
20220317,7
20220318,0
20220319,0
20220320,2
20220321,2
20220322,0
20220323,0
20220324,0
20220325,4
20220326,0
20220327,0
20220328,0
20220329,1
20220330,1
20220331,0
20220401,0
20220402,0
20220403,0
20220404,1
20220405,0
20220406,1
20220407,2
20220408,0
20220409,0
20220410,0
20220411,1
20220412,0
20220413,0
20220414,2
20220415,1
20220416,0
20220417,1
20220418,1
20220419,0
20220420,1
20220421,0
20220422,6
20220423,1
20220424,1
20220425,1
20220426,7
20220427,9
20220428,3
20220429,6
20220430,2
20220501,1
20220502,1
20220503,0
20220504,0
20220505,0
20220506,0
20220507,1
20220508,0
20220509,0
20220510,0
20220511,0
20220512,0
20220513,0
20220514,0
20220515,0
20220516,0
20220517,0
20220518,0
20220519,0
20220520,0
20220521,0
20220522,0
